GameID,TeamID,UserID,PF,PA,PlayerID,TeammateID,OppPlayer1,OppPlayer2
2,Ringers,Nick,19,21,4,23,15,2
2,Ringers,Brant,19,21,23,4,15,2
2,Ballerz,Jeremy,21,19,15,2,23,4
2,Ballerz,Joe,21,10,2,15,23,4
3,Ringers,Jeremy,21,15,23,11,5,15
3,Ringers,Joe,21,15,11,23,5,15
3,Ballerz,Brant,15,21,15,5,23,11
3,Ballerz,Nick,15,21,5,15,23,11
4,Ringers,Nick,27,29,55,4,5,23
4,Ringers,Brant,27,29,4,55,23,5
4,Ballerz,Jeremy,29,27,5,23,55,4
4,Ballerz,Joe,29,27,23,5,4,55
5,Ringers,Joe,11,21,11,50,2,3
5,Ringers,Nick,11,21,50,11,2,3
5,Ballerz,Jeremy,21,11,3,2,11,50
5,Ballerz,Brant,21,11,2,3,11,50
6,Ringers,Nick,9,21,55,4,0,23
6,Ringers,Joe,9,21,4,55,23,0
6,Ballerz,Jeremy,21,9,0,23,55,4
6,Ballerz,Brant,21,9,23,0,4,55
7,Ringers,Nick,21,19,50,3,55,2
7,Ringers,Joe,21,19,3,50,2,55
7,Ballerz,Jeremy,19,21,55,2,50,3
7,Ballerz,Brant,19,21,2,55,3,50
8,Ringers,Jeremy,22,24,50,15,23,3
8,Ringers,Joe,22,24,15,50,3,23
8,Ballerz,Nick,24,22,23,3,50,15
8,Ballerz,Brant,24,22,3,23,15,50
9,Ringers,Brant,21,8,0,55,0,55
9,Ringers,Jeremy,21,8,55,0,55,0
9,Ballerz,Joe,8,21,50,2,50,2
9,Ballerz,Nick,8,21,2,50,2,50
10,Ringers,Nick,22,20,0,11,4,15
10,Ringers,Brant,22,20,11,0,15,4
10,Ballerz,Joe,20,22,4,15,0,11
10,Ballerz,Jeremy,20,22,15,4,11,0

